variant,fairness_type,alpha,method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step,best_lambda_fair_constrained,test_reg_n_at_fair_best,test_fair_at_fair_best,test_fair_std_at_fair_best,regret_budget,baseline_regret_fpto_lam0
b,atkinson,0.5,fplg,2.0,0.07251,0.00191,0.01631,0.00014,0.07165,0.01223,0.00086,150.0,2.0,0.07251,0.01631,0.00014,0.05112,0.04647
b,atkinson,0.5,fdfl-scal,2.0,0.07426,0.00228,0.01637,0.00014,0.07343,0.01229,0.00082,150.0,2.0,0.07426,0.01637,0.00014,0.05112,0.04647
b,atkinson,0.5,saa,0.0,0.07555,0.00019,0.01082,0.00013,0.0747,0.00787,0.00085,0.0,0.0,0.07555,0.01082,0.00013,0.05112,0.04647
b,atkinson,0.5,mgda,0.0,0.07606,0.00259,0.01639,0.00014,0.07528,0.01232,0.00078,150.0,0.0,0.07606,0.01639,0.00014,0.05112,0.04647
b,atkinson,2.0,fplg,1.0,0.12869,0.00207,0.00846,0.00078,0.11892,0.00579,0.00977,150.0,0.0,0.129,0.00834,0.00078,0.15431,0.14028
b,atkinson,2.0,pcgrad,0.0,0.13008,0.00135,0.00777,0.00073,0.12375,0.00291,0.00633,65.0,0.0,0.13008,0.00777,0.00073,0.15431,0.14028
b,atkinson,2.0,fdfl-scal,1.0,0.13189,0.00148,0.00733,0.00066,0.12636,0.00458,0.00553,145.0,1.0,0.13189,0.00733,0.00066,0.15431,0.14028
b,atkinson,2.0,fpto,0.0,0.14028,0.00014,0.00671,0.00044,0.13806,0.00429,0.00222,150.0,2.0,0.14028,0.0067,0.00044,0.15431,0.14028
b,atkinson,2.0,wdro,0.0,0.14137,7e-05,0.00618,0.00046,0.13912,0.00378,0.00225,150.0,0.0,0.14137,0.00618,0.00046,0.15431,0.14028
b,atkinson,2.0,mgda,0.0,0.18266,0.00701,0.01462,0.00032,0.18548,0.01063,-0.00282,150.0,0.0,0.18266,0.01462,0.00032,0.15431,0.14028
b,atkinson,2.0,saa,0.0,0.27761,0.00181,0.01082,0.00013,0.28275,0.00787,-0.00514,0.0,0.0,0.27761,0.01082,0.00013,0.15431,0.14028
b,bias_parity,0.5,pcgrad,0.0,0.0457,0.00043,0.35118,0.05282,0.04432,0.01088,0.00139,150.0,0.0,0.0457,0.35118,0.05282,0.05112,0.04647
b,bias_parity,0.5,fpto,2.0,0.04638,0.00041,0.79782,0.09638,0.04537,0.53131,0.00101,150.0,2.0,0.04638,0.79782,0.09638,0.05112,0.04647
b,bias_parity,0.5,wdro,0.0,0.04678,0.00026,0.99373,0.11667,0.04563,0.74803,0.00115,150.0,0.0,0.04678,0.99373,0.11667,0.05112,0.04647
b,bias_parity,0.5,fplg,2.0,0.0725,0.00191,2.56402,0.02273,0.07165,2.23533,0.00086,150.0,2.0,0.0725,2.56402,0.02273,0.05112,0.04647
b,bias_parity,0.5,fdfl-scal,2.0,0.0736,0.00227,2.56805,0.02368,0.07277,2.23953,0.00083,150.0,2.0,0.0736,2.56805,0.02368,0.05112,0.04647
b,bias_parity,0.5,saa,0.0,0.07555,0.00019,2.57677,0.01561,0.0747,2.24851,0.00085,0.0,0.0,0.07555,2.57677,0.01561,0.05112,0.04647
b,bias_parity,0.5,mgda,0.0,0.07603,0.00258,2.5766,0.02278,0.07525,2.24833,0.00078,150.0,0.0,0.07603,2.5766,0.02278,0.05112,0.04647
b,bias_parity,2.0,fplg,1.0,0.12866,0.00205,0.57813,0.1034,0.11889,0.30457,0.00977,150.0,2.0,0.12875,0.55658,0.11485,0.15431,0.14028
b,bias_parity,2.0,pcgrad,0.0,0.12899,0.00171,0.41675,0.14948,0.12096,0.09054,0.00803,105.0,0.0,0.12899,0.41675,0.14948,0.15431,0.14028
b,bias_parity,2.0,fdfl-scal,2.0,0.13176,0.00146,0.73928,0.0955,0.12627,0.46738,0.00549,140.0,2.0,0.13176,0.73928,0.0955,0.15431,0.14028
b,bias_parity,2.0,fpto,2.0,0.13948,0.00022,0.79782,0.09638,0.13716,0.53131,0.00233,150.0,2.0,0.13948,0.79782,0.09638,0.15431,0.14028
b,bias_parity,2.0,wdro,0.0,0.14137,7e-05,0.99373,0.11667,0.13912,0.74803,0.00225,150.0,0.0,0.14137,0.99373,0.11667,0.15431,0.14028
b,bias_parity,2.0,mgda,0.0,0.19057,0.00652,2.38953,0.05213,0.19394,2.06077,-0.00337,150.0,0.0,0.19057,2.38953,0.05213,0.15431,0.14028
b,bias_parity,2.0,saa,0.0,0.27761,0.00181,2.57677,0.01561,0.28275,2.24851,-0.00514,0.0,0.0,0.27761,2.57677,0.01561,0.15431,0.14028
b,dp,0.5,fpto,0.0,0.04647,0.0004,1.61598,0.07656,0.04544,1.52851,0.00104,150.0,2.0,0.04666,1.45477,0.07246,0.05112,0.04647
b,dp,0.5,wdro,0.0,0.04678,0.00026,1.58304,0.10106,0.04563,1.50048,0.00115,150.0,0.0,0.04678,1.58304,0.10106,0.05112,0.04647
b,dp,0.5,pcgrad,0.0,0.0511,0.00036,0.3206,0.05099,0.04998,0.001,0.00112,150.0,0.0,0.0511,0.3206,0.05099,0.05112,0.04647
b,dp,0.5,fplg,2.0,0.07251,0.00191,0.01276,0.00708,0.07165,0.01318,0.00086,150.0,2.0,0.07251,0.01276,0.00708,0.05112,0.04647
b,dp,0.5,fdfl-scal,0.0,0.07426,0.00228,0.00614,0.00709,0.07344,0.00623,0.00082,150.0,0.0,0.07426,0.00614,0.00709,0.05112,0.04647
b,dp,0.5,saa,0.0,0.07555,0.00019,0.001,0.0,0.0747,0.001,0.00085,0.0,0.0,0.07555,0.001,0.0,0.05112,0.04647
b,dp,0.5,mgda,0.0,0.07604,0.00257,0.00513,0.00019,0.07526,0.00523,0.00078,150.0,0.0,0.07604,0.00513,0.00019,0.05112,0.04647
b,dp,2.0,fplg,1.0,0.1287,0.00208,1.94255,0.08531,0.11893,1.87369,0.00977,150.0,2.0,0.12884,1.90808,0.10055,0.15431,0.14028
b,dp,2.0,fdfl-scal,0.0,0.1319,0.00147,1.75695,0.07689,0.12644,1.67993,0.00546,140.0,2.0,0.13207,1.67716,0.07493,0.15431,0.14028
b,dp,2.0,pcgrad,0.0,0.13367,0.00268,0.78262,0.11449,0.12754,0.51585,0.00613,45.0,0.0,0.13367,0.78262,0.11449,0.15431,0.14028
b,dp,2.0,fpto,0.0,0.14028,0.00014,1.61598,0.07656,0.13806,1.52851,0.00222,150.0,2.0,0.14134,1.45477,0.07246,0.15431,0.14028
b,dp,2.0,wdro,0.0,0.14137,7e-05,1.58304,0.10106,0.13912,1.50048,0.00225,150.0,0.0,0.14137,1.58304,0.10106,0.15431,0.14028
b,dp,2.0,mgda,0.0,0.18261,0.0047,0.20059,0.00329,0.1855,0.20072,-0.00288,65.0,0.0,0.18261,0.20059,0.00329,0.15431,0.14028
b,dp,2.0,saa,0.0,0.27761,0.00181,0.001,0.0,0.28275,0.001,-0.00514,0.0,0.0,0.27761,0.001,0.0,0.15431,0.14028
b,mad,0.5,fpto,0.0,0.04647,0.0004,23.08753,0.72511,0.04544,17.43973,0.00104,150.0,2.0,0.04835,19.74034,2.22803,0.05112,0.04647
b,mad,0.5,pcgrad,0.0,0.04676,0.00061,21.43859,1.37367,0.04426,3.72142,0.0025,150.0,0.0,0.04676,21.43859,1.37367,0.05112,0.04647
b,mad,0.5,wdro,0.0,0.04678,0.00026,21.93393,0.90933,0.04563,16.09752,0.00115,150.0,0.0,0.04678,21.93393,0.90933,0.05112,0.04647
b,mad,0.5,fdfl-scal,0.5,0.06092,0.00119,101.53408,0.53793,0.06036,83.9786,0.00057,100.0,0.5,0.06092,101.53408,0.53793,0.05112,0.04647
b,mad,0.5,fplg,2.0,0.07174,0.00182,122.50804,0.91435,0.07088,104.61482,0.00086,150.0,2.0,0.07174,122.50804,0.91435,0.05112,0.04647
b,mad,0.5,saa,0.0,0.07555,0.00019,60.85233,0.11009,0.0747,50.9935,0.00085,0.0,0.0,0.07555,60.85233,0.11009,0.05112,0.04647
b,mad,0.5,mgda,0.0,0.07603,0.00258,123.97973,0.95392,0.07525,106.05663,0.00078,150.0,0.0,0.07603,123.97973,0.95392,0.05112,0.04647
b,mad,2.0,fplg,0.5,0.12859,0.00196,26.46571,1.40157,0.12025,18.73866,0.00834,150.0,2.0,0.12895,26.29811,2.9682,0.15431,0.14028
b,mad,2.0,pcgrad,0.0,0.13049,0.00098,24.78222,2.20876,0.12473,14.28612,0.00576,50.0,0.0,0.13049,24.78222,2.20876,0.15431,0.14028
b,mad,2.0,mgda,0.0,0.13115,0.00156,14.26584,16.34515,0.12649,4.21657,0.00467,150.0,0.0,0.13115,14.26584,16.34515,0.15431,0.14028
b,mad,2.0,fdfl-scal,0.0,0.1319,0.00147,23.75922,1.35767,0.12644,17.45841,0.00546,140.0,2.0,0.13493,21.84729,1.24832,0.15431,0.14028
b,mad,2.0,fpto,0.0,0.14028,0.00014,23.08753,0.72511,0.13806,17.43973,0.00222,150.0,2.0,0.14864,19.74034,2.22803,0.15431,0.14028
b,mad,2.0,wdro,0.0,0.14137,7e-05,21.93393,0.90933,0.13912,16.09752,0.00225,150.0,0.0,0.14137,21.93393,0.90933,0.15431,0.14028
b,mad,2.0,saa,0.0,0.27761,0.00181,60.85233,0.11009,0.28275,50.9935,-0.00514,0.0,0.0,0.27761,60.85233,0.11009,0.15431,0.14028
